PT	UT	PM	DT	LT	TI	FT	AU	CA	BA	BE	PN	AE	DG	PC	PL	SO	SE	PY	PD	VL	IS	PS	BP	EP	LA	ME	CT	CL	CY	SP	AB	C1	EM	RI	OI	U1	U2	CR	NR	TC	Z9	PU	PA	SC	SN	EI	DI	BN	MC	CC	TA	DS	CH	GN	SD	GE	TM	MQ	PR	MI	OA	HC	HP	DA	
J	BCI:BCI201500592160	26121683			Expression of Notch1 Correlates with Breast Cancer Progression and Prognosis		Yuan, Xun; Zhang, Mingsheng; Wu, Hua; Xu, Hanxiao; Han, Na; Chu, Qian; Yu, Shiying; Chen, Yuan; Wu, Kongming (kmwu@tjh.tjmu.edu.cn)									PLoS One		2015	JUN 29 2015	10	6	Article No.: e0131689	e0131689								Various studies have evaluated the significance of Notch1 expression in breast cancer, but the results have ever been disputed. By using 21 studies involving 3867 patients, this meta-analysis revealed that the expression of Notch1 was significantly higher in breast cancer than in normal tissues (OR=7.21; 95% CI, 4.7-11.07) and that higher Notch1 expression was associated with transition from ductal carcinoma in situ (DCIS) to invasive cancer (OR=3.75; 95% CI, 1.8-7.78). Higher Notch1 activity was observed in the basal subtype of breast cancer (OR=2.53; 95% CI, 1.18-5.43). Moreover, patients with Notch1 overexpression exhibited significantly worse overall and recurrence-free survival. Our meta-analysis suggests that Notch inhibitors may be useful in blocking the early progression of DCIS and that the outcomes of clinical trials for Notch1-targeting therapeutics could be improved by the molecular stratification of breast cancer patients.			Chu, Qian/K-2996-2017	Chu, Qian/0000-0001-8192-7630										1932-6203	1932-6203	10.1371/journal.pone.0131689																		
J	BCI:BCI201500571031				The prognostic role of HER2 expression in ductal breast carcinoma in situ		Borgquist, Signe; Zhou, Wenjing; Jirstrom, Karin; Amini, Rose-Marie; Sollie, Thomas; Sorlie, Therese; Butt, Saima; Blomqvist, Carl; Warnberg, Fredrik									Cancer Research		2015	MAY 1 2015	75	Suppl. 9	P6-13-03	P6																						0008-5472	1538-7445	10.1158/1538-7445.SABCS14-P6-13-03																		
J	BCI:BCI201500360099				Breast carcinoma in situ in women with BRCA1 and BRCA2 mutations: a single institution review		Cardoso, C. C.; Luis, A.; Machado, P.; Clara, A.; Opiniao, A.; Bento, S.; Faria, J. L.; Marques, J. C.; Santos, S.; Vaz, F.									Breast		2015	MAR 2015	24	Suppl. 1	S67-S68	S67	S68											Faria, Joaquim/0000-0002-6531-3978										0960-9776	1532-3080	10.1016/S0960-9776(15)70167-0																		
J	BCI:BCI201500250046				Improved Detection for Breast Myoepithelial Cells By A New Clone of Smooth Muscle Myosin Heavy Chain Antibody		Liu, Haiping; Muralitharan, Sharmini									Laboratory Investigation		2015	FEB 2015	95	Suppl. 1	54A	54A																						0023-6837	1530-0307																			
J	BCI:BCI201500613720	26131049			Acoustic radiation force impulse elastography for differentiation of malignant and benign breast lesions: a meta-analysis		Li, Dan-Dan; Guo, Le-Hang; Xu, Hui-Xiong (xuhuixiong@hotmail.com) ; Liu, Chang; Xu, Jun-Mei; Sun, Li-Ping; Wu, Jian; Liu, Bo-Ji; Liu, Lin-Na; Xu, Xiao-Hong									International Journal of Clinical and Experimental Medicine		2015		8	4	4753-4761	4753	4761							This meta-analysis was aimed to assess the diagnostic performance of acoustic radiation force impulse (ARFI) elastography for the differentiation of malignant and benign breast lesions. The databases of PubMed, Web of Science (TM), WanFang, Vip, SinoMed and China National Knowledge Infrastructure were searched for all studies that evaluated the diagnostic performance of ARFI including virtual touch tissue quantification (VTQ) and virtual touch tissue imaging (VTI). All the studies were published prior to Mar. 21, 2014. The studies published in English or Chinese were collected. A total of 11 studies, including 1,408 breast lesions from 1,245 women, were analyzed. The values of summary sensitivity and summary specificity were 0.843 (95% confidence interval [CI]: 0.811-0.872) and 0.932 (95% CI: 0.913-0.948) for VTQ of ARFI, and 0.864 (95% CI: 0.799-0.914) and 0.882 (95% CI: 0.832-0.922) for VTI of ARFI, respectively. Subgroup analysis excluding mucinous carcinoma and carcinoma in situ showed higher summary sensitivity (0.877 95% CI: 0.835-0.911), higher summary specificity (0.943 95% CI: 0.921-0.960) and lower heterogeneity (I-2=23.5%). The cut-off values for shear wave velocity of VTQ ranged widely from 2.89 to 6.71 m/s, while the VTI ranged narrowly from 1.37 to 1.66. In general, ARFI elastography seems to be a good method for differentiation between benign and malignant breast lesions. However, its usefulness for identifying breast mucinous carcinoma and breast carcinoma in situ is limited. VTI seems to be more reliable and repeatable than VTQ.														1940-5901																				
J	BCI:BCI201500108234	25227964			Re-resection rates and risk characteristics following breast conserving surgery for breast cancer and carcinoma in situ: A single-centre study of 1575 consecutive cases		Kryh, C. G. (c.kryh@hotmail.com) ; Pietersen, C. A. (cpietersen@yahoo.com) ; Rahr, H. B. (hans.rahr@slb.regionsyddanmark.dk) ; Christensen, R. D. (depont42@gmail.com) ; Wamberg, P. (peter.arne.wamberg@region.syddanmark.dk) ; Lautrup, M. D. (marianne.korsgaard@dadlnet.dk)									Breast		2014	DEC 2014	23	6	784-789	784	789							Objectives: To examine the frequency of re-resections and describe risk characteristics: invasive carcinoma or carcinoma in situ (CIS), palpability of the lesion, and neoadjuvant chemotherapy.Results: 1703 breast conserving surgeries were performed: 1575 primary breast conserving surgeries (BCS), and 128 diagnostic excisions (DE). 176 BCS (11.2% [9.6; 12.7]) and 100 DE had inadequate margins indicating re-resection. The overall re-resection rate was 16.2% [14.5; 18.0]. 10.3% of invasive carcinoma BCS patients, and 28.6% CIS patients underwent re-resection (relative risk (RR) 2.8 [1.9; 4.1]). Invasive lobular carcinoma (ilc) had an RR of re-resection of 2.5 [1.7; 3.8], compared with invasive ductal carcinoma (idc).Conclusion: Overall 11.2% of the BCS patients needed a re-resection. For isolated CIS (28.6%), RR of re-resection was almost three times as high compared to invasive carcinoma (10.3%). Ilc had an RR of re-resection of 2.5 compared to idc. Palpability and neoadjuvant chemotherapy did not significantly influence the risk of re-resection. (C) 2014 Elsevier Ltd. All rights reserved.														0960-9776	1532-3080	10.1016/j.breast.2014.08.011																		
J	BCI:BCI201500083368	25119601			Armc8 expression was elevated during atypia-to-carcinoma progression and associated with cancer development of breast carcinoma		Fan, Chuifeng (fanchuifeng2013@163.com) ; Zhao, Yang; Mao, Xiaoyun; Miao, Yuan; Lin, Xuyong; Jiang, Guiyang; Zhang, Xiupeng; Han, Qiang; Luan, Lan; Wang, Enhua									Tumor Biology		2014	NOV 2014	35	11	11337-11343	11337	11343							Armadillo repeat-containing protein 8 (Armc8) is a key factor to regulate cell membrane adhesion complex through promoting alpha-catenin degradation. However, its expression and function in human malignant tumors are largely unknown. Here, we present our study investigating Armc8 expression in tumor and non-tumor breast tissues including 45 normal epithelia, 53 lesions of hyperplasia with or without dysplasia, 22 benign tumors, and 92 carcinomas including 28 carcinomas in situ and 64 infiltrating carcinomas using immunohistochemistry (IHC) and Western blotting study. Armc8 expression was detected mainly in the cytoplasm with occasional membrane immunostaining. The positive rate of Armc8 expression in normal breast epithelia (8.9 %, four out of 45) was very low. No significant difference was found between Armc8 expression in usual ductal hyperplasia (UDH) (11.1 %, two out of 18), benign breast tumors including intraductal papilloma (10.0 %, one out of 10) and fibroadenoma (8.3 %, one out of 12), and normal breast epithelia (p > 0.05). Elevated expression of Armc8 was found in breast epithelia with dysplasia (24.0 %, six out of 25) compared to that in normal breast epithelia, UDH, and benign breast tumors (p < 0.05). Armc8 expression in breast carcinoma including breast carcinoma in situ (10/28, 35.7 %), infiltrating ductal carcinoma (60.7 %, 34/56), and infiltrating lobular carcinoma (50.0 %, 4/8) was higher than that in normal breast epithelia, UDH, benign breast tumors, and breast epithelia with dysplasia (p < 0.05). The highest expression of Armc8 was found in infiltrating breast carcinoma (59.4 %, 38/64) compared to all the other breast tissues. Higher Armc8 expression was found to be linked to lymph node metastasis and advanced tumor-node-metastasis (TNM) stages (III + IV) in infiltrating breast carcinoma (p < 0.05). We further confirmed Armc8 expression in breast epithelial cell line MCF10A and breast carcinoma cell lines including MCF-7, MDA-MB-231, and ZR751 using Western blotting and immunofluorescent study. These results indicate that the elevated expression of Armc8 may be involved in carcinogenesis including atypia-to-carcinoma progression and cancer development of breast carcinoma.														1010-4283	1423-0380	10.1007/s13277-014-2473-0																		
J	BCI:BCI201400755438	25109497			Relative expression of hMena(11a) and hMena(INV) splice isoforms is a useful biomarker in development and progression of human breast carcinoma		Tanaka, Noriyuki; Yoshida, Hiroshi; Suzuki, Yoshio; Harigaya, Kenichi (harigaya@faculty.chiba-u.jp)									International Journal of Oncology		2014	NOV 2014	45	5	1921-1928	1921	1928							Alternative splicing provides additional genomic complexity by producing multiple mRNAs and protein variants from any given gene. Splice variants have been identified in a large variety of cancer genes, suggesting that widespread aberrant and alternative splicing may be a consequence or even a cause of cancer. Human ortholog of mammalian enabled (hMena), a family of enabled/vasodilator-stimulated phosphoproteins (Ena/VASP), is an actin regulatory protein involved in the regulation of cell motility. hMena has been shown to have several splice variants, including the hMena(INV) isoform, expressed in invasive cancer cells, and the epithelial-specific isoform, hMena(11a). We assessed the relative mRNA expression of hMena splice variants in 50 cases of invasive ductal breast carcinoma of no special type (IDC-NST) and 45 cases of ductal breast carcinoma in situ (DCIS) with special reference to non-neoplastic breast epithelial tissues. The samples were dissected from their respective regions by laser microdissection. Our results confirmed previous reports that hMena(INV) expression is augmented during tumor progression, while hMena(11a) is downregulated. Furthermore, simultaneous expression of hMena(11a) and hMena(INV) was found only in malignant lesions, while their expression was hardly detected in normal breast tissue and benign proliferative breast lesions. These results indicate that the higher relative expression of hMena(11a) compared with hMena(INV) may predict malignant transformation in breast epithelial cells, and, furthermore, a reversal of expression of hMena(11a) and hMena(INV) may dictate the state of cancer progression. Here, we demonstrate that determination of hMenalla and hMena' expression could be a useful biomarker for predicting malignant behavior in breast epithelial lesions, and show that their relative expression is linked to adverse prognostic factors. Although the biological activity of the majority of alternatively spliced isoforms and their contribution to cancer biology has yet to be determined, their elucidation will have a large impact on therapeutic strategies for cancer.														1019-6439	1791-2423	10.3892/ijo.2014.2591																		
J	BCI:BCI201400681146	25203208			The CDC42-Interacting Protein 4 Controls Epithelial Cell Cohesion and Tumor Dissemination		Rolland, Yanneve; Marighetti, Paola; Malinverno, Chiara; Confalonieri, Stefano; Luise, Chiara; Ducano, Nadia; Palamidessi, Andrea; Bisi, Sara; Kajiho, Hiroaki; Troglio, Flavia; Shcherbakova, Olga G.; Dunn, Alexander R.; Oldani, Amanda; Lanzetti, Letizia; Di Fiore, Pier Paolo; Disanza, Andrea (andrea.disanza@ifom.eu) ; Scita, Giorgio (giorgio.scita@ifom.eu)									Developmental Cell		2014	SEP 8 2014	30	5	553-568	553	568							The role of endocytic proteins and the molecular mechanisms underlying epithelial cell cohesion and tumor dissemination are not well understood. Here, we report that the endocytic F-BAR-containing CDC42-interacting protein 4 (CIP4) is required for ERBB2-and TGF-beta 1-induced cell scattering, breast cancer (BC) cell motility and invasion into 3D matrices, and conversion from ductal breast carcinoma in situ to invasive carcinoma in mouse xenograft models. CIP4 promotes the formation of an E-cadherin-CIP4-SRC complex that controls SRC activation, E-cadherin endocytosis, and localized phosphorylation of the myosin light chain kinase, thereby impinging on the actomyosin contractility required to generate tangential forces to break cell-cell junctions. CIP4 is upregulated in ERBB2-positive human BC, correlates with increased distant metastasis, and is an independent predictor of poor disease outcome in subsets of BC patients. Thus, it critically controls cell-cell cohesion and is required for the acquisition of an invasive phenotype in breast tumors.			Di Fiore, Pier Paolo/K-2130-2012	Di Fiore, Pier Paolo/0000-0002-2252-0950; Kajiho, Hiroaki/0000-0001-6376-7629; DUCANO, NADIA/0000-0002-5091-309X; Scita, Giorgio/0000-0001-7984-1889; Confalonieri, Stefano/0000-0001-6886-9851										1534-5807	1878-1551	10.1016/j.devcel.2014.08.006																		
J	BCI:BCI201400606876	24678687			Determination of HER2/neu Status A Pilot Study Comparing HER2/neu Dual In Situ Hybridization DNA Probe Cocktail Assay Performed on Cell Blocks to Immunohistochemisty and Fluorescence In Situ Hybridization Performed on Histologic Specimens		Hartman, Adria K.; Gorman, Blythe K. (bkgorman@tmhs.org) ; Chakraborty, Subhendu; Mody, Dina R.; Schwartz, Mary R.									Archives of Pathology & Laboratory Medicine		2014	APR 2014	138	4	553-558	553	558							Context.-Validation of new methodologies for determining human epidermal growth factor receptor 2 gene (HER2/neu) amplification status is crucial for advancing the standard of care and determining treatment for patients with primary and/or metastatic breast carcinoma.Objective.-To compare results of HER2/neu gene amplification status by 2-color chromogenic in situ hybridization (ISH) on cell block material to HER2/neu status by immunohistochemistry (IHC) and/or fluorescence in situ hybridization (FISH) in the corresponding resection specimen or previous biopsy specimen.Design.-Formalin, thrombin, and Cellient cell blocks were prepared from cytologic samples obtained from resection specimens from 27 patients with invasive breast carcinoma. In situ hybridization was performed on cell block sections from 18 of the collected cases, on both the Ventana BenchMark ULTRA and the Ventana BenchMark XT, and the HER2/neu gene amplification status was determined. This was then compared to the HER2/neu status by IHC and/or FISH in the resection specimen or previous biopsy specimen.Results.-Comparison of HER2/neu status by ISH on the quantifiable cell block sections showed 100% correlation with the HER2/neu status determined by IHC or FISH in the corresponding histologic specimens. The results from thrombin and formalin cell blocks were statistically superior to the results from Cellient cell blocks on both Ventana instruments.Conclusions.-While further validation and study are needed, preliminary results show that the HER2/neu gene amplification status of breast carcinomas can reliably be determined on thrombin and formalin cell block material by using ISH. More consistent staining and better signal integrity was obtained with the Ventana BenchMark ULTRA than the BenchMark XT.														0003-9985	1543-2165	10.5858/arpa.2013-0314-SA																		
